title,preparation_min,cooking_min,health_score,area,general_protein,protein,chicken?,beef?,lamb?,pork?,seafood?,other?,calories(kcal),fat(g),saturated_fat(g),carbohydrates(g),net_carbohydrate(g),sugar(g),cholesterol(mg),sodium(mg),protein(g),vitamin_B3(mg),vitamin_B6(mg),selenium(µg),phosphorus(mg),vitamin_B5(mg),potassium(mg),manganese(mg),magnesium(mg),vitamin_B2(mg),vitamin_E(mg),fiber(g),zinc(mg),vitamin_B1(mg),copper(mg),iron(mg),vitamin_B12(µg),vitamin_K(µg),calcium(mg),folate(µg),vitamin_C(mg),vitamin_A(IU),vitamin_D(µg),total_time,time_score_norm,health_score_norm
Thai red salmon curry,20,25,95,Indian,seafood,salmon,0,0,0,0,1,0,611.71,39.44,21.43,27.41,20.86,11.63,93.5,445.51,40.43,15.07,1.75,64.01,532.3,4.04,1537.35,1.23,136.89,0.78,1.57,6.55,2.27,0.63,0.84,7.68,5.41,28.97,154.94,123.74,94.37,3708.79,0.0,45,94.0,95.0
Lentil Curry,15,25,27,Indian,chicken,chicken breast,1,0,0,0,0,0,430.37,23.91,16.16,33.94,19.11,5.1,24.19,613.92,23.75,8.08,0.62,20.39,391.3,1.64,944.92,1.43,98.03,0.18,0.87,14.84,2.86,0.41,0.52,4.97,0.19,6.53,60.81,207.38,7.32,3561.24,0.0,40,94.0,27.0
Instant Pot Coconut Curry Chicken,20,15,12,Indian,chicken,chicken breast,1,0,0,0,0,0,357.49,22.48,17.44,14.54,11.02,6.98,72.87,682.81,27.65,13.31,1.03,37.41,336.53,2.0,877.79,0.94,65.55,0.18,1.77,3.52,1.47,0.15,0.38,3.23,0.23,6.27,49.21,31.3,10.97,290.75,0.0,35,95.0,12.0
Chicken Massaman Curry,20,75,57,Thai,chicken,whole chicken,1,0,0,0,0,0,786.67,29.16,10.03,99.38,86.0,9.19,81.65,1617.21,34.5,13.7,2.1,21.66,548.3,2.76,2623.21,1.3,212.96,0.34,1.13,13.38,3.77,0.56,0.9,6.91,0.42,21.55,135.14,112.2,106.06,9321.63,0.22,95,86.0,56.99999999999999
Massaman Curry Paste,10,20,17,Thai,seafood,belacan,0,0,0,0,1,0,24.61,0.33,0.05,4.73,3.77,1.76,10.69,36.86,1.57,0.4,0.18,0.0,20.54,0.0,127.06,0.31,11.12,0.03,0.22,0.96,0.18,0.03,0.06,0.76,0.0,4.28,19.33,8.21,41.93,274.35,0.0,30,96.0,17.0
Curry Chicken Salad,15,10,7,Indian,chicken,chicken breast,1,0,0,0,0,0,140.26,4.67,0.9,12.28,11.01,8.08,32.38,273.46,13.32,5.49,0.47,18.49,175.36,0.88,400.97,0.26,43.02,0.14,0.46,1.27,0.86,0.1,0.24,1.13,0.15,22.93,34.03,16.98,5.23,177.0,0.0,25,97.0,7.000000000000001
Instant Pot Chicken Coconut Curry,15,15,9,Indian,chicken,chicken breast,1,0,0,0,0,0,321.87,21.72,15.66,15.29,11.48,5.09,48.38,165.81,19.32,8.95,0.73,30.86,266.14,1.35,672.01,0.98,63.07,0.12,1.76,3.8,1.25,0.1,0.3,2.7,0.15,6.14,46.48,26.88,8.17,547.43,0.0,30,96.0,9.0
Curry Braised Chicken Legs,10,45,9,Indian,chicken,chicken leg,1,0,0,0,0,0,495.0,40.82,22.18,10.08,6.94,4.95,131.4,608.82,24.3,7.33,0.55,28.44,300.94,1.51,678.05,1.0,64.9,0.26,1.22,3.14,2.66,0.17,0.33,3.08,0.75,10.13,49.75,30.24,12.97,966.98,0.2,55,92.0,9.0
Home-style pork curry with cauliflower rice,15,60,58,Indian,pork,pork tenderloin,0,0,0,1,0,0,293.08,7.58,1.37,29.71,18.59,12.23,69.06,409.68,30.12,10.0,1.44,35.74,432.99,2.57,1544.46,0.92,105.67,0.57,3.26,11.12,3.33,1.32,0.49,5.02,0.54,40.64,112.79,156.29,84.48,344.76,0.21,75,89.0,57.99999999999999
Thai Beef and Potato Curry,5,35,12,Indian,beef,beef chuck roast,0,1,0,0,0,0,491.54,37.28,26.54,22.52,20.56,7.28,58.68,497.14,21.68,5.95,0.61,18.74,321.68,0.97,847.84,1.07,98.6,0.16,0.17,1.96,7.3,0.17,0.4,6.37,2.35,2.44,68.5,42.81,6.61,1567.29,0.0,40,94.0,12.0
Peanut Butter Pumpkin Curry,5,25,29,Indian,chicken,chicken breast,1,0,0,0,0,0,462.67,30.18,16.57,27.47,18.7,8.55,48.21,359.9,25.24,10.59,1.19,30.83,365.22,1.98,895.5,1.6,107.07,0.19,2.61,8.77,1.95,0.16,0.46,3.85,0.15,13.63,81.62,72.33,58.96,13087.68,0.0,30,96.0,28.999999999999996
One-pan prawn & tomato curry,10,20,20,Indian,seafood,shrimp,0,0,0,0,1,0,260.67,8.55,0.92,24.19,20.66,7.22,161.0,257.22,23.9,1.67,0.3,4.29,288.99,0.48,706.88,0.55,72.48,0.09,4.25,3.54,1.97,0.12,0.65,2.9,0.0,10.21,130.45,24.39,22.81,290.7,0.0,30,96.0,20.0
