,title,preparation_min,cooking_min,health_score,area,general_protein,protein,chicken?,beef?,lamb?,pork?,seafood?,other?,calories(kcal),fat(g),saturated_fat(g),carbohydrates(g),net_carbohydrate(g),sugar(g),cholesterol(mg),sodium(mg),protein(g),vitamin_B3(mg),vitamin_B6(mg),selenium(µg),phosphorus(mg),vitamin_B5(mg),potassium(mg),manganese(mg),magnesium(mg),vitamin_B2(mg),vitamin_E(mg),fiber(g),zinc(mg),vitamin_B1(mg),copper(mg),iron(mg),vitamin_B12(µg),vitamin_K(µg),calcium(mg),folate(µg),vitamin_C(mg),vitamin_A(IU),vitamin_D(µg)
81,Paneer jalfrezi,-1,-1,17,Indian,,,0,0,0,0,0,0,539.76,40.27,16.21,29.96,22.5,15.65,66,300.8,18.51,2.56,0.67,1.14,113.99,0.55,908.81,0.59,58.65,0.17,4.9,7.45,0.84,0.19,0.25,2.69,0,48.12,550.87,83.08,183.05,4001.63,0
82,Butternut Chickpea Curry,20,40,87,Indian,,,0,0,0,0,0,0,155.56,3.46,0.52,28.23,21.11,8.72,0,307.48,6.56,2.69,0.69,7.5,139.7,1.03,701.72,0.96,61.62,0.19,2.11,7.11,1.15,0.18,0.41,2.94,0,7.29,100.56,61.6,59.36,6760.72,0
83,"Mushroom, chickpea and spinach curry",30,60,44,Indian,,,0,0,0,0,0,0,446.76,15.61,7.58,65.1,58.01,8.15,30.13,449.17,14.85,8.56,0.43,35.58,257.23,2.18,1040.74,1.19,94.95,0.94,3.55,7.09,1.82,0.7,0.64,5.37,0.15,267.24,155.69,251.72,25.3,9167.79,0.23
84,Lamb & mango curry,10,165,24,Indian,lamb,lamb shoulder,0,0,1,0,0,0,345.77,21.1,15.77,22.66,17.85,14.48,53.76,83.32,20.34,6.5,0.36,24.53,269.15,0.99,763.02,1.35,72.08,0.26,1.43,4.81,4.39,0.18,0.44,3.99,2.24,8.6,65.27,74.02,36.47,1239.28,0
85,Instant Pot Sweet Potato Chickpea Curry,15,20,31,Indian,,,0,0,0,0,0,0,349.97,18.34,12.6,40.6,31.19,8.87,0,106.48,10.15,1.76,0.44,3.61,241.65,0.93,838.38,1.77,106.27,0.16,1.85,9.41,1.94,0.2,0.54,5.92,0,122.84,105.94,202.36,49.15,13530.99,0
86,Courtney's Curry Chicken Noodle Soup,15,45,16,Indian,chicken,chicken thighs,1,0,0,0,0,0,398.95,13.32,6.53,45.82,43.36,2.82,71.82,939.2,22.98,8.36,0.54,23.95,323.34,1.08,693.58,0.73,54.45,0.3,0.79,2.46,2.12,0.13,0.29,2.84,0.73,32,66.54,33.8,37.97,4527.62,0
87,Curry Turkey Pot Pie,50,60,10,Indian,other,whole turkey,0,0,0,0,0,1,396.43,23.81,11.96,29.89,26.19,5.38,78.05,796.1,16.46,5.92,0.51,16.53,202.66,0.86,495.9,0.41,40.98,0.33,0.93,3.7,1.64,0.26,0.16,2.16,0.7,17.33,81.29,66.26,12.87,4730.38,0
88,Curry,-1,-1,27,Indian,chicken,chicken breast,1,0,0,0,0,0,1026.71,79.08,47.69,24.36,22.4,8.04,371.99,349.61,55.75,24.37,1.93,81.47,633.04,3.99,1192.42,0.37,87.32,0.65,3.27,1.97,2.19,0.23,0.17,2.07,0.77,10.17,168.78,28.49,14.63,3970.77,3.45
89,Chickpea Curry,15,25,23,Indian,,,0,0,0,0,0,0,298.31,20.91,14.83,24.3,17.5,7.36,0,347.12,8.37,2.73,0.47,6.37,185.29,0.43,593.01,1.45,65.99,0.09,1.53,6.8,1.3,0.08,0.4,3.6,0.12,56.99,83.1,59.45,8.2,6665.03,0
90,Curried chicken & cashew rice,-1,-1,21,,chicken,whole chicken,1,0,0,0,0,0,736.05,21.26,5.1,111.35,108.31,3.34,40.68,50.48,23.41,6.34,0.58,29.74,356.8,2.12,468.91,1.62,112.89,0.2,0.7,3.04,3.54,0.19,0.89,3.43,0.17,12.89,66.44,37.5,36.93,1475.66,0
91,Shrimp and Cabbage Curry,-1,-1,37,Indian,seafood,shrimp,0,0,0,0,1,0,467.81,34.51,28.9,20.15,12.31,9.03,182.57,226.14,28.02,1.85,0.4,7.35,407.37,0.64,998.85,1.41,110.4,0.14,1.95,7.84,2.81,0.15,0.8,4.66,0,118.02,173.34,90.21,92.35,2941.36,0
92,Thai green prawn curry,10,5,37,Indian,seafood,shrimp,0,0,0,0,1,0,720.31,42.09,24.71,59.18,53.78,7.85,136.85,464.37,30.86,2.54,0.41,37.16,476.42,1.15,908.24,1.86,142.85,0.12,6.23,5.4,3.02,0.22,0.88,7.68,0,32.26,165.19,71.54,54.34,3449.51,0
93,Assam Fish Curry,-1,-1,56,Indian,seafood,fish,0,0,0,0,1,0,415.18,26.71,21.94,12.61,9.98,4.75,75,165.31,33.35,37.52,0.38,63.22,353.7,1.01,773.85,1.08,68.2,0.13,1.04,2.63,1.28,0.11,0.39,2.96,2.38,4.05,53.04,379.81,91.5,2150.12,4.65
94,Chicken and Broccoli Coconut Curry,10,20,32,Indian,chicken,chicken breast,1,0,0,0,0,0,560.96,48.3,40.87,15.07,11.7,2.69,54.24,739.01,25.25,10.88,0.89,29.92,453.16,2.06,1119.85,1.97,146.89,0.2,1.54,3.38,2.18,0.17,0.57,8.89,0.17,96.08,100.53,95.5,85.79,625.5,0
95,Creamy split pea curry,20,60,52,Indian,,,0,0,0,0,0,0,434.71,15.35,8.86,57.57,39.59,15.56,5.5,298.2,17.91,3.1,0.46,2.64,282.69,1.47,1054.34,1.04,96.19,0.25,2.09,18.01,2.2,0.52,0.7,4.47,0.14,22.85,160.07,171.05,69.75,2933.38,0
96,Easy peasy lentil curry,5,45,70,Indian,,,0,0,0,0,0,0,560.04,9.38,1.42,107.39,87.82,17.19,0,873.31,13.32,2.93,0.47,13.43,326.57,2.24,1151.71,2.04,105.81,0.2,5.87,19.57,2.97,0.46,0.52,4.22,0,44.12,132.71,260.7,39.21,2822.94,0
97,"Cauliflower, Pea, and Coconut Curry",-1,-1,29,Indian,,,0,0,0,0,0,0,565.05,45.65,19.62,35.19,26.53,10.92,0,206.77,13.45,2.62,0.71,8.57,399.43,1.92,1249.3,1.73,175.68,0.2,3.25,8.67,3.18,0.34,1,6.78,0,57.89,113.31,165.95,119.44,309.82,0
98,Runner bean & curry leaf bhajis with coconut chutney,30,20,40,Indian,,,0,0,0,0,0,0,287.75,10.31,7.96,43.77,38.8,4.14,0,25.56,7.36,173.26,0.24,17.85,121.5,0.41,367.09,0.86,53.96,0.31,0.74,4.96,0.85,0.42,0.24,4.27,0,32.02,119.72,1842.56,325.64,1186.6,0
99,Chicken Curry (Classic Malaysian Style),20,35,32,Indian,chicken,chicken thighs,1,0,0,0,0,0,434.11,14.33,7.36,39.59,32.38,3.97,161.59,232.48,38.52,17.53,1.45,40.65,485.79,2.68,1387.46,2.95,115.17,0.39,1.67,7.21,3.67,0.33,0.43,6.18,1.09,13.99,105.1,113.63,45.87,322.26,0
100,Basil Chicken Coconut Curry,15,25,10,Indian,chicken,chicken thighs,1,0,0,0,0,0,479.29,35.59,22.69,17.53,14,5.22,107.73,700.76,25.57,7.36,0.68,34.13,343.11,1.71,661.46,1.29,75.48,0.23,1.81,3.54,2.67,0.16,0.39,3.16,0.73,14.88,54.92,30.88,12.57,188.17,0
101,South Indian coconut & prawn curry,15,30,60,Indian,seafood,cod fillets,0,0,0,0,1,0,294.59,11.85,5.34,33.8,24.5,13.63,30.14,305.13,18.61,61.31,0.74,26.45,305.23,0.88,1365.82,2.39,106.48,0.21,3.63,9.3,1.7,0.25,0.42,3.86,0.65,39.07,144.84,660.24,178.75,14157.9,0.63
102,Creamy Coconut Chicken Curry,5,10,34,Indian,chicken,cooked chicken,1,0,0,0,0,0,649.14,22.92,14.81,80.25,73.8,3.83,65.63,373.06,31.55,11.89,0.95,25.79,504.06,2.5,748.17,4.29,193.36,0.23,0.59,6.45,3.83,0.51,0.52,4.69,0.25,24.96,77.96,53.05,8.53,427.7,0
103,Indian Chicken Curry,20,180,15,Indian,chicken,chicken thighs,1,0,0,0,0,0,463.45,28.93,8.59,20.93,17.02,8.66,156.61,967.39,30.67,9.65,0.85,33.34,341.38,2.08,898.37,0.53,70,0.37,2.45,3.91,2.63,0.26,0.4,3.76,1.08,13.99,100.65,33.05,15.72,2184.45,0.15
104,Curried Chickpea and Vegetable Wrap,15,0,100,,,,0,0,0,0,0,0,262.54,15.73,2.18,26.37,15.79,3.13,0,349.46,8.96,2.36,0.8,6.52,220.61,1.22,640.78,1.09,66.61,0.16,2.4,10.58,1.77,0.29,0.47,2.74,0,63.28,97.89,115.39,65.36,4974.5,0
105,Cauliflower and Butternut Quinoa Curry,15,30,42,Indian,,,0,0,0,0,0,0,340.51,15.49,10.98,43.59,30.17,9.93,0,709.66,11.64,2.85,0.5,7.12,275.3,1.37,1009.44,1.46,117.28,0.26,2.14,13.42,2.19,0.4,0.42,4.44,0,144.12,171.91,211.86,76.37,14321.06,0
106,Chickpea Potato Curry,10,45,37,Indian,,,0,0,0,0,0,0,540.97,11.85,4.28,90.72,69.07,20.07,15.05,1329.64,23.36,3.41,0.8,9.38,468.51,1.25,1417.17,2.64,154.33,0.24,2.25,21.64,3.97,0.43,1.07,8.74,0,16.46,178.22,408.31,35.13,801.79,0
107,Tofu and Summer Vegetable Curry,-1,-1,39,Indian,,,0,0,0,0,0,0,516.43,41,23.25,29.82,19.41,17.79,0,146.73,14.54,2.9,0.55,7.21,320.93,1.02,1285.07,1.62,126.77,0.3,2.94,10.41,2.16,0.29,0.69,4.9,0,44.03,143.56,108.11,46.79,3846.66,0
108,Vibrant Curry Cashew Chickpea Quinoa Salad,20,25,90,Indian,,,0,0,0,0,0,0,475.24,18.68,2.91,65.62,53.84,18.01,0,905.3,16.51,2.12,0.95,10.5,428.06,1.02,754.5,2.25,184.83,0.25,2.2,11.77,3.73,0.37,0.99,5.6,0,107.02,96,137.14,58.14,4401.28,0
109,Pakistani Beef Curry (Bhunna Gosht),5,35,31,Indian,,,0,0,0,0,0,0,360.43,26.36,8.14,11.06,8.39,3.42,71,173.44,20.51,5.87,0.47,18.67,234.82,0.58,959.88,0.87,108.05,0.35,1.94,2.67,4.89,0.22,0.32,7.29,2.14,171.04,178.15,51.16,76.54,1220.9,0
110,Chicken Dal Curry,15,60,27,Indian,chicken,chicken thighs,1,0,0,0,0,0,394.54,11.42,2.43,32.56,22.84,7.08,161.59,1189.77,41.31,10.73,1.13,41.23,468.46,2.78,966.37,0.78,90.57,0.43,1.54,9.72,3.8,0.42,0.45,3.63,1.09,25.26,93.13,99.43,19.72,1429.58,0
111,Chickpeas with Curry,10,20,1,Indian,,,0,0,0,0,0,0,230.85,18.05,7.5,15.45,13.14,1.4,30.12,120.51,3.25,0.69,0.22,2.19,78.13,0.32,153.54,0.75,32.29,0.07,1.94,2.31,0.58,0.08,0.09,1.41,0.06,8.27,48.75,14.43,2.22,413.57,0.32
112,Coconut Vegetable Curry Over Quinoa,-1,-1,36,Indian,,,0,0,0,0,0,0,459.4,20.9,17.4,56.66,47.56,11.19,0,270.68,9.82,2.02,0.71,3.39,249.13,1.48,1128.91,1.18,117.35,0.35,1.09,9.1,1.87,0.27,0.46,2.94,0,88.94,95.57,100.84,45.3,19235.76,0
113,Short on Time? You Can Make this Easy Vegan Coconut Curry in as Little as 30 Minutes,-1,30,22,Indian,,,0,0,0,0,0,0,287.22,21.08,14.82,24.58,18.57,8.77,0,340.23,4.81,1.95,0.34,6.09,145.83,0.97,713.73,1.06,64.52,0.12,2.34,6.01,1.02,0.15,0.43,3.06,0,40.26,77.94,49.55,38.13,8395.04,0
114,Kidney bean curry,5,30,44,Indian,,,0,0,0,0,0,0,323.01,2.13,0.33,64.32,47.76,15.12,0,784.45,16.47,3.92,0.64,7.36,325.72,1.09,1293.11,1.35,121.67,0.29,2.95,16.56,2.24,0.42,0.75,6.49,0,26.85,166.76,92.14,28.1,1039.74,0
115,One Pot Vegetarian Thai Curry,20,20,30,Thai,,,0,0,0,0,0,0,371.18,22.04,17.69,38.72,31.29,7.9,0,618.4,8.83,2.59,0.67,7.63,204.53,1.01,634.91,1.61,79.7,0.12,0.71,7.44,1.47,0.32,0.4,5.81,0,23.6,102.99,106.73,72.54,9903.83,0
116,Slow Cooker Madras Beef Curry with Vegetables,45,240,47,Indian,beef,beef chuck roast,0,1,0,0,0,0,471.31,19.66,7.83,42.37,35.03,7.21,99.8,821.14,34.62,9.86,1.36,32.35,445.08,1.7,1698.46,0.81,98.7,0.42,2.69,7.34,11.79,0.34,0.48,6.59,3.93,16.25,112.74,49.55,74.84,1524.05,0.16
117,One Pan Thai Coconut Yellow Curry Chicken & Rice,10,30,20,Indian,chicken,chicken thighs,1,0,0,0,0,0,473.31,16.17,11.41,51.86,47.72,5.23,107.73,558.7,27.15,8.18,0.83,33.31,313.26,2.16,666.6,0.8,63.26,0.34,1.24,4.15,2.59,0.23,0.24,2.54,0.73,48.96,72.15,52.42,51.46,7116.21,0
118,Creamy beetroot curry,15,45,39,Indian,,,0,0,0,0,0,0,224.82,4.85,0.88,40.88,29.58,26.47,1.2,381,8.86,2.19,0.4,5.37,185.03,0.86,1239.98,1.1,90.1,0.21,1.42,11.3,1.48,0.19,0.4,4.01,0.11,6.11,152.69,299.77,28.05,2080.99,0
119,Mahi Mahi Panang Curry + Weekly Menu,10,20,27,Indian,seafood,mahi mahi,0,0,0,0,1,0,479.85,23.93,16.83,38.19,30.06,6.72,82.78,830.38,30.94,8.41,0.68,46.59,255.23,1.19,808.68,0.76,85.9,0.13,1,8.12,1.2,0.08,0.26,4.91,0.72,5.51,92.78,45.96,59.25,4472.1,0
120,Potato Vindaloo Curry,15,45,17,Indian,,,0,0,0,0,0,0,254.46,1.47,0.22,50.95,45.83,6.84,2.5,123.37,11.5,2.82,0.95,9.16,232.56,0.93,1189.91,0.8,80.3,0.25,0.63,5.12,1.32,0.23,0.35,4.08,0.35,5.98,141.56,41.36,17.41,604.69,0
121,Lamb meatball curry,5,35,10,Indian,lamb,lamb,0,0,1,0,0,0,329.55,25.42,21.78,24.26,19.44,4.93,2.19,22.99,5,2,0.33,7.1,162.19,0.5,691.49,1.07,60.76,0.04,0.17,4.83,1.07,0.11,0.38,2.76,0.07,2.11,44.31,32.62,23.46,1774.53,0
122,"Curry Sautéed Cabbage (Paleo, Vegan, Keto)",15,30,59,Indian,,,0,0,0,0,0,0,151.59,9.1,4.2,16.34,10.2,7.72,0,72.86,4.11,1.24,0.31,1.23,97.55,0.46,448.33,0.57,40.54,0.11,0.64,6.15,0.79,0.18,0.13,2.01,0,123.81,82.32,93.53,79.9,2655.29,0
123,Japanese Dry Curry,10,20,18,,beef,ground chuck,0,0,0,0,0,1,429.96,23.38,8.87,31.07,25.35,10.5,80.51,1119.85,24.49,7.18,0.75,18.92,287.61,0.97,899.33,0.45,59.22,0.3,1.21,5.72,5.45,0.2,0.26,4,2.47,15.6,72.81,51.06,30.22,5560.46,0
124,Creamy Curry Chicken Salad Wraps,15,20,9,Indian,chicken,chicken breast,1,0,0,0,0,0,152.72,4.83,0.96,5.19,4.17,1.76,55.49,402.35,21.79,9.17,0.72,31.08,251.67,1.37,471.32,0.28,48.89,0.16,0.58,1.01,1.02,0.1,0.18,1.12,0.32,23.52,44.05,18.62,6.87,544.12,0
125,Curry Cauliflower Rice,-1,-1,33,Indian,,,0,0,0,0,0,0,358.9,22.72,11.57,31.89,23.09,16.42,2.5,174.58,14.55,2.64,0.71,10.72,347.09,2.15,1234.37,1.4,118.06,0.37,2.21,8.81,2.1,0.19,0.4,3.77,0.35,50.76,153.02,183.34,166.52,1139.06,0
126,Thai Paleo Panang Curry,10,30,37,Indian,chicken,chicken breast,1,0,0,0,0,0,723.85,58.77,44.81,12.25,10.01,3.58,108.86,982.47,43.21,19.86,1.48,55.54,614.31,2.9,1265.74,1.9,185.05,0.28,2.74,2.24,2.56,0.18,0.61,8.54,0.38,1.87,104.72,61.7,44.57,3346.44,0.17
127,"Channa-Chickpea, Potato & Cauliflower Curry",-1,-1,26,Indian,,,0,0,0,0,0,0,94.11,4.01,0.42,13.79,11.72,2.17,0,32.6,1.73,0.74,0.22,0,47.23,0.2,308.5,0.22,22.41,0.04,1.81,2.08,0.32,0.06,0.1,1.58,0,2.54,27.59,13.34,12.28,267.84,0
128,How to Make Japanese Curry Over Mashed Potatoes,15,20,14,,,,0,0,0,0,0,0,389.54,21.77,10.35,43.87,37.11,4.29,40.13,378.33,7.8,2.74,0.74,1.4,179.96,0.81,1129.59,0.53,78.16,0.29,2.36,6.75,0.92,0.33,0.35,2.73,0.93,25.89,158.49,58.89,46,3514.91,0.97
129,Curried pulled lamb,45,240,75,,lamb,lamb shoulder,0,0,1,0,0,0,399.37,19.14,5.04,11.75,8.55,4.98,136.57,208.87,44.19,13.19,0.48,49.05,448.67,1.7,902.52,0.78,76.23,0.54,3.91,3.2,9.24,0.31,0.34,5.03,5.67,6.66,91.71,68.4,14.29,680.13,0
130,Pressure Cooker Green Curry,15,15,42,Indian,chicken,chicken thighs,1,0,0,0,0,0,738.06,58.41,30.91,23.58,15.09,10.27,166.7,867.85,35.84,10.55,1.11,42.78,512.22,3.03,1408.29,1.51,127.6,0.51,2.25,8.49,3.76,0.32,0.5,4.63,1.11,171.9,137.88,149.27,169.06,8918.45,0.17
131,All-Purpose Coconut Curry,-1,-1,27,Indian,,,0,0,0,0,0,0,378.88,31.63,27.19,23.9,17.51,11.9,0,252.65,7.69,15.33,0.37,11.05,220.29,0.68,894.55,1.66,84.35,0.11,1.92,6.38,1.5,0.17,0.66,4.57,0.08,7.59,95.43,163.79,40.38,324.37,0
132,Easy Coconut Shrimp Curry,10,20,13,Indian,seafood,shrimp,0,0,0,0,1,0,612.47,48.35,33.87,21.42,15.85,7.15,208.78,1336.27,31.64,2.33,0.3,1.66,448.68,0.61,1064.12,1.75,104.02,0.08,3.13,5.57,3.14,0.14,1.1,5.51,0,13.35,157.48,42.81,15.69,443.2,0
133,Roasted Curried Cauliflower,10,25,40,,,,0,0,0,0,0,0,228.59,19,2.82,13.85,8.98,4.84,0,355.61,4.51,1.14,0.45,1.9,104.47,1.45,681.75,0.47,36.28,0.14,2.98,4.87,0.66,0.12,0.11,1.32,0,44.64,61,125.09,106.17,0,0
134,Creamy Coconut Chickpea Curry with Sweet Corn & Zucchini,15,25,29,Indian,,,0,0,0,0,0,0,491.03,22.31,8.85,61.4,51.88,9.27,0,548.51,13.18,2.41,0.95,12.55,314.99,1.56,890.75,1.78,112.81,0.21,1.66,9.52,2.54,0.36,0.64,3.69,0,36.59,132.41,112.12,30.47,579.72,0
135,Roasted Butternut Squash Lentil Curry,15,45,71,Indian,,,0,0,0,0,0,0,575.04,31.01,21.33,64.59,43.93,9.16,0,756.86,18.29,4.71,0.78,5.99,426.56,2.35,1630.98,2.1,191.3,0.19,4.49,20.65,3.51,0.69,0.69,9.93,0,18.42,173.78,332.51,76.23,20533.5,0
136,Beef Massaman Curry,10,140,12,Thai,,,0,0,0,0,0,0,565.12,42.46,20.84,22.27,18.47,7.28,80.51,893.59,25.88,7.96,0.66,22.16,319.91,1.02,858.39,0.82,86.92,0.23,1.42,3.8,5.56,0.15,0.34,4.06,2.5,4.93,63.1,46.85,16.27,602.28,0
137,Vegetable Curry,-1,-1,100,Indian,,,0,0,0,0,0,0,192.54,4.38,0.6,34.55,27.68,8.24,0,84.51,6.34,2.66,0.57,1.27,148.93,0.58,1028.7,0.62,65.08,0.11,1.94,6.87,0.96,0.2,0.34,2.44,0,33.32,62.8,89.55,63.4,4618.24,0
138,Prawn jalfrezi,10,22,34,Indian,seafood,shrimp,0,0,0,0,1,0,401.67,7.48,0.84,70.41,60.26,24.23,88.2,676.21,18.29,6.09,0.98,23.49,396.36,1.51,1161.4,2.18,141.77,0.21,4.68,10.15,2.48,0.41,0.74,5,0.78,27.74,177.52,75.79,96.84,971.6,0
139,Lentil & Spinach Curry,-1,-1,100,Indian,,,0,0,0,0,0,0,495.11,6.47,0.89,80.42,44.12,9.2,0.62,422.74,32.03,4.68,0.95,10.45,553.49,2.6,1874.19,2.48,224.53,0.47,4.43,36.29,5.76,1.06,0.86,11.97,0,487.41,213.26,696.65,44.92,10767.67,0
140,Curried Sweet Potato Chickpea Burgers,30,30,5,American,,,0,0,0,0,0,0,123.55,5.84,0.72,15.02,11.76,1.86,1.59,274.9,3.61,0.32,0.28,2.54,78.58,0.44,209.79,0.61,27.63,0.05,0.95,3.26,0.63,0.06,0.13,1.24,0,7.69,44.58,17.93,4.54,3666.39,0
141,Coconut Prawn Curry,-1,-1,9,Indian,seafood,shrimp,0,0,0,0,1,0,140.3,6.61,5.46,3.71,3.05,0.9,134.17,143.32,17.77,6.03,0.06,0,216.32,0,338.99,0.35,47.24,0,0,0.65,1.36,0.02,0.41,1.71,0,0,71.77,66.86,14.57,0,0
142,Quick and Easy-One Pan Veggie Red Curry,15,10,37,Indian,,,0,0,0,0,0,0,411.78,25.55,19,38.45,27.64,5.46,0,891.18,12.72,1.49,1.04,4.14,274.32,0.87,771.13,2.57,120.65,0.1,0.77,10.8,2.11,0.13,0.57,6.67,0,114.83,143.37,114.32,12.62,12112.31,0
143,Crab curry,30,75,46,Indian,seafood,crabmeat,0,0,0,0,1,0,554.28,35.61,13.23,31.44,24.08,10.48,54.6,1458.89,30.22,32.44,0.44,54.46,418.56,0.82,855.04,1.23,115.38,0.16,4.71,7.36,8.71,0.19,1.53,4.41,11.78,25.63,172.06,385.76,81.98,1078.43,0
144,South African Bobotie (Beef Curry Casserole),10,65,12,African,other,meatballs,0,0,0,0,0,1,618.26,42.97,18.61,25.3,22.87,5.45,180.39,590.48,32.28,7.63,0.7,32.61,361.89,1.28,760.77,0.38,49.94,0.43,1.22,2.43,7.04,0.26,0.2,4.59,3.57,4.62,137.46,43.14,6.25,414.41,0.84
145,Courgette & cauliflower yellow curry,10,30,38,Indian,,,0,0,0,0,0,0,547.08,26.04,22.05,71.76,63.75,12.3,0,68.34,11.75,3.29,0.73,17.24,302.67,1.97,1201.06,2.18,107.3,0.27,0.59,8.01,2.3,0.23,0.57,3.75,0,29.69,110.28,134.08,107.24,1626.81,0
146,Sweet Potato Vindaloo,-1,-1,18,Indian,,,0,0,0,0,0,0,321.79,12.04,0.98,50.87,42.01,13.98,0,695.49,5.34,2.28,0.63,2.67,140.91,1.77,990.44,1.1,75.06,0.18,3.97,8.86,1.01,0.24,0.48,3.33,0,18.19,122.01,39.62,16.37,26283.76,0
147,Squash & coconut curry,10,20,70,Indian,,,0,0,0,0,0,0,662.87,49.27,42.78,60.1,46.34,18.53,0,48.71,9.25,6.66,0.82,14.48,341.63,2.05,1993.88,2.69,212.11,0.13,6.65,13.76,2.07,0.47,0.82,6.76,0,14.04,243.4,161.99,164.6,44117.2,0
148,Braised Short Ribs With Onions and Curry Leaves,-1,-1,79,Indian,beef,bone in beef short ribs,0,1,0,0,0,0,958.97,55.09,23.57,62.34,49.86,9.54,165.72,368.5,56.35,11.87,1.93,41.51,700.12,1.76,2357.86,1.11,155.35,0.56,3.28,12.48,13.38,0.51,0.68,10,8.42,16.73,126.32,77.77,58.85,839.08,0
149,Curry Noodles,10,10,27,Indian,,,0,0,0,0,0,0,373.03,6.85,0.75,66.09,59.47,8.61,0,946.7,11.89,2.16,0.36,10.23,184.39,0.43,407.24,0.74,41.41,0.14,2.05,6.62,1.22,0.19,0.21,2.88,0,17.08,124.63,61.99,80.74,5742.4,0
